epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,1058.29,0.26319,0.40512,1.08131,0.96214,0.92076,0.9585,0.89501,nan,nan,nan,0.0001585,0.0001585,0.0001585
104,1448.94,0.26749,0.37838,1.09135,0.96639,0.91674,0.95718,0.88692,nan,nan,nan,0.00015025,0.00015025,0.00015025
105,1838.53,0.26922,0.39102,1.06411,0.95867,0.92347,0.96037,0.89295,nan,nan,nan,0.000142,0.000142,0.000142
106,2166.62,0.26963,0.36762,1.08372,0.94112,0.92574,0.9616,0.9001,nan,nan,nan,0.00013375,0.00013375,0.00013375
107,2563.18,0.264,0.37333,1.08669,0.95323,0.90713,0.95901,0.89907,nan,nan,nan,0.0001255,0.0001255,0.0001255
108,433.1,0.24386,0.34131,1.33881,0.9467,0.91898,0.95791,0.89461,nan,nan,nan,0.00011725,0.00011725,0.00011725
109,897.268,0.27338,0.3299,1.24407,0.95775,0.91532,0.95784,0.89217,nan,nan,nan,0.000109,0.000109,0.000109
110,1358.74,0.24338,0.30785,1.06032,0.94612,0.93214,0.9595,0.89207,nan,nan,nan,0.00010075,0.00010075,0.00010075
111,1810.71,0.21724,0.26791,1.17786,0.96351,0.91186,0.95513,0.88779,nan,nan,nan,9.25e-05,9.25e-05,9.25e-05
112,2186.93,0.21656,0.18481,1.12989,0.95099,0.9221,0.95319,0.89021,nan,nan,nan,8.425e-05,8.425e-05,8.425e-05
113,2536.15,0.20515,0.17751,1.17232,0.96161,0.92202,0.95749,0.89048,nan,nan,nan,7.6e-05,7.6e-05,7.6e-05
114,2863.56,0.19439,0.17444,1.14199,0.95508,0.92821,0.95963,0.89246,nan,nan,nan,6.775e-05,6.775e-05,6.775e-05
115,3166.08,0.20159,0.1686,1.11656,0.93979,0.92827,0.96029,0.89498,nan,nan,nan,5.95e-05,5.95e-05,5.95e-05
116,3531.13,0.19258,0.15978,1.08434,0.94816,0.92701,0.96036,0.89588,nan,nan,nan,5.125e-05,5.125e-05,5.125e-05
117,3895.8,0.19067,0.15535,1.13232,0.96042,0.92219,0.96048,0.89892,nan,nan,nan,4.3e-05,4.3e-05,4.3e-05
118,4196.55,0.18731,0.16209,1.12844,0.95147,0.92733,0.96345,0.90055,nan,nan,nan,3.475e-05,3.475e-05,3.475e-05
119,4509,0.19617,0.14971,1.1165,0.9541,0.9235,0.96324,0.90005,nan,nan,nan,2.65e-05,2.65e-05,2.65e-05
120,4878.9,0.19046,0.14893,1.14659,0.95163,0.92301,0.96208,0.90264,nan,nan,nan,1.825e-05,1.825e-05,1.825e-05
